show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
81217749,Movie,SunGanges,Valli Bindana,Naseeruddin Shah,India:United States,15-Nov-19,2018,TV-PG,74 min,Documentaries:International Movies,A trio of filmmakers treks across India to explore the correlation between vanishing rivers and massive energy projects and renewable energy sources.
70303496,Movie,PK,Rajkumar Hirani,Aamir Khan:Anuskha Sharma:Sanjay Dutt:Saurabh Shukla:Parikshat Sahni:Sushant Singh Rajput:Boman Irani:Rukhsar,India,06-Sep-18,2014,TV-14,146 min,Comedies:Dramas:International Movies,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
70142798,Movie,Phobia 2,Banjong Pisanthanakun:Paween Purikitpanya:Songyos Sugmakanan:Parkpoom Wongpoom:Visute Poolvoralaks,Jirayu La-ongmanee:Charlie Trairat:Worrawech Danuwong:Marsha Wattanapanich:Nicole Theriault:Chumphorn Thepphithak:Gacha Plienwithi:Suteerush Channukool:Peeratchai Roompol:Nattapong Chartpong,Thailand,05-Sep-18,2009,TV-MA,125 min,Horror Movies:International Movies,From disfiguring punishments to festering souls. Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.
80999063,Movie,Super Monsters Save Halloween,,Elyse Maloway:Vincent Tong:Erin Matthews:Andrea Libman:Alessandro Juliani:Nicole Anthony:Diana Kaarina:Ian James Corlett:Britt McKillip:Kathleen Barr,,05-Oct-18,2018,TV-Y,25 min,Children & Family Movies,The Super Monsters use their powers to get their neighbors in the Halloween spirit:then help a nervous friend see there's nothing to be afraid of.
80190843,TV Show,First and Last,,,,07-Sep-18,2018,TV-MA,1 Season,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
80119349,Movie,Out of Thin Air,Dylan Howitt,,,29-Sep-17,2017,TV-14,85 min,Documentaries:International Movies,Picking up 40 years after six were convicted for two strange murders in Iceland:this chilling documentary proves confessions can’t always be trusted.
70062814,Movie,Shutter,Banjong Pisanthanakun:Parkpoom Wongpoom,Ananda Everingham:Natthaweeranuch Thongmee:Achita Sikamana:Unnop Chanpaibool:Titikarn Tongprasearth:Sivagorn Muttamara:Chachchaya Chalemphol:Kachormsak Naruepatr,Thailand,05-Sep-18,2004,TV-MA,96 min,Horror Movies:International Movies,After killing a young girl in a hit-and-run accident:a couple is haunted by more than just the memory of their deadly choice.
80182115,Movie,Long Shot,Jacob LaMendola,,United States,29-Sep-17,2017,TV-14,40 min,Documentaries,When Juan Catalan is arrested for a murder he didn't commit:he builds his case for innocence around raw footage from a popular TV show. A documentary.
80187722,TV Show,FIGHTWORLD,Padraic McKinley,Frank Grillo,,12-Oct-18,2018,TV-MA,1 Season,Docuseries,Actor and fight enthusiast Frank Grillo travels the world:immersing himself in different fight cultures to understand their traditions and motivations.
